,Cycle,Target,Start,End,Maintenance day(s)
0,​2020/03 Add to calendar,​TS1 & TS2,​10 Nov 2020,17 Dec 2020​,25 Nov 2020​
1,​2020/02 Add to calendar,​TS1 & TS2​,​08 Sep 2020,​23 Oct 2020,​23 Sep & 07 Oct 2020
2,​2020/01​ Add to calendar,TS1 & TS2​,28 Apr 2020​,5 Jun 2020​,13 May​ 2020
3,​,​,​,​,​
4,​2019/04 Add to calendar,​TS1 & TS2,11 Feb 2020​,27 Mar 2020​,​26 Feb & 11 Mar 2020
5,​2019/03,​TS1 & TS2,12 Nov 2019​,​20 Dec 2019,​27 Nov​ 2019
6,​2019/02 ,​TS1 &TS2,​10 Sep 2019,​25 Oct 2019,​25 Sep & 9​ Oct 2019
7,2019/01,​TS1 & TS2,​04 June 2019,​19 July 2019,​19 Jun & 03 Jul 2019
8,​,​,​,​,​
9,​2018/04,​TS1 & TS2,​05 Feb 2019,​29 Mar 2019,​27 Feb & 13 Mar 2019
10,​2018/03,TS1 & TS2​,13 Nov 2018​,​18 Dec 2018,05 Dec 2018​
11,​2018/02,​TS1 & TS2,11 Sep 2018​,​26 Oct 2018,​26 Sep & 10 Oct 2018
12,2018/01,TS1 & TS2,05 Jun 2018,13 Jul 2018,27​ Jun 2018
13,​2018/01a,​TS1 & TS2,17 Apr 2018​,​18 May 2018,​02 May 2018
14,​,​,​,​,​
15,2017/04 ,TS1 & TS2,6 Feb 2018,25 Mar 2018,28 Feb 2018
16,2017/03 ,TS1​,14 Nov 2017,20 Dec 2017,29 Nov 2017
17,2017/02,TS1 & TS2,19 Sep 2017,27 Oct 2017,11 Oct 2017
18,​2017/01,TS1 & TS2​,​02 May 2017,01 Jun 2017​,17 May 2017​
19, , , , , 
20,​2016/05,TS1 & TS2​,​14 Feb 2017,30 Mar 2017​,15 Mar 2017​
21,2016/04,TS1 & TS2,15 Nov 2016,16 Dec 2016,30 Nov 2016
22,2016/03,TS1 & TS2,13 Sep 2016,28 Oct 2016,28 Sep & 12 Oct 2016
23,2016/02,TS2,28 Jun 2016,29 Jul 2016,13 July 2016
24,2016/01,TS1 & TS2,12 Apr 2016,20 May 2016,04 May 2016
25,,,,,
